index,checkpoint,best_acc,con_poster_mean_prob,con_poster_prob,opt_poster_mean_prob,opt_poster_prob,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15
1537,7,0.11349999599999999,0.155679977704,0.117455124469,0.118444818142,0.12040893889,0.10279999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999,0.11349999599999999
1538,7,0.11349999599999999,0.420808108713,0.413606815594,0.409931948359,0.40223196123,0.097399996,0.11349999599999999,0.10089999599999999,0.097399996,0.11349999599999999,0.103199996,0.11349999599999999,0.09799999599999999,0.097399996,0.11349999599999999,0.11349999599999999,0.09799999599999999,0.10089999599999999,0.08919999699999999,0.103199996
1539,7,0.989300002,0.995479077545,0.999146397739,0.991942639107,0.997536705426,0.8946999929999999,0.9692999990000001,0.975100002,0.9762999990000001,0.982000002,0.9822000009999999,0.9846000009999999,0.985100002,0.9849,0.9853,0.9875,0.9885,0.9885000009999999,0.989300002,0.9890000000000001
1540,7,0.580199982,0.488975664038,0.490780047313,0.4927285843,0.490307931111,0.117999996,0.126599995,0.14379999599999999,0.173499994,0.21939999300000002,0.27629999,0.333899989,0.38739998700000006,0.43129998700000005,0.464899985,0.493599986,0.518599984,0.542299985,0.5633999829999999,0.580199982
1541,7,0.961800001,0.948776940729,0.945306160378,0.953739737363,0.954392741162,0.901599995,0.9317,0.936000003,0.942199998,0.9490999990000001,0.9542,0.9405,0.9542,0.958600001,0.955000002,0.952700001,0.960700001,0.961800001,0.959600001,0.9491999990000001
1542,7,0.11349999599999999,0.105555394108,0.105545618869,0.105469261886,0.10541754973,0.11349999599999999,0.098199996,0.095799997,0.100999996,0.100999996,0.10279999599999999,0.097399996,0.10279999599999999,0.103199996,0.100999996,0.10279999599999999,0.097399996,0.11349999599999999,0.10279999599999999,0.100999996
1543,7,0.9890999979999999,0.999545252663,0.997593135019,0.990798882646,0.999289767449,0.9593,0.970599997,0.976399998,0.976699998,0.969800002,0.9791,0.984699998,0.983299998,0.9852999990000001,0.978999999,0.983,0.987799999,0.986099999,0.9890999979999999,0.978000001
1544,7,0.9490000000000001,0.93882053319,0.934263554987,0.93845257229,0.933816343697,0.9296999990000001,0.924599996,0.918099993,0.9286999979999999,0.9249999990000001,0.9250999990000001,0.926899996,0.927599995,0.9333999959999999,0.936999998,0.934599999,0.9378000009999999,0.9390999959999999,0.9483,0.9490000000000001
1545,7,0.09799999599999999,0.107026035929,0.0974793798719,0.0998577954085,0.107610503893,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999,0.09799999599999999
1546,7,0.922399995,0.924818388634,0.909162786595,0.897410133067,0.883523665034,0.720399986,0.8378999890000001,0.8753999920000001,0.89029999,0.891999992,0.896599996,0.8997999959999999,0.899599994,0.909999997,0.909999998,0.914599995,0.914099998,0.9168999959999999,0.918899997,0.922399995
1547,7,0.9586999979999999,0.939479436814,0.937919349722,0.936327628512,0.947976869329,0.843999988,0.885799992,0.9029999959999999,0.915799995,0.9235999970000001,0.9271999959999999,0.9331999990000001,0.9376,0.942399999,0.9470000009999999,0.9490000009999999,0.952399998,0.954399998,0.957199998,0.9586999979999999
1548,7,0.9776000009999999,0.974700327175,0.973806275609,0.974351571012,0.97741757952,0.9400999990000001,0.940399997,0.957499999,0.9597999979999999,0.9676,0.9648,0.9702,0.973699999,0.9714000009999999,0.9741,0.974799998,0.9749,0.974600001,0.9776000009999999,0.9767
1549,7,0.11349999599999999,,,,,0.09799999599999999,0.11349999599999999,0.097399996,0.103199996,0.11349999599999999,0.098199996,0.097399996,0.10089999599999999,0.08919999699999999,0.095799997,0.097399996,0.09799999599999999,0.10089999599999999,0.095799997,0.08919999699999999
1550,7,0.9605,0.952535123928,0.95125477409,0.952025622955,0.944832054782,0.897199993,0.926299995,0.926299998,0.938799995,0.947999998,0.943499997,0.9434,0.958599998,0.9526999979999999,0.9345999970000001,0.947399999,0.925399998,0.959200002,0.9526999979999999,0.9605
1551,7,0.554899985,0.451935320131,0.430587688418,0.423818934647,0.421401688058,0.12069999599999999,0.140899995,0.15689999400000001,0.188799993,0.217999992,0.249299992,0.28579999,0.31959999,0.356099988,0.392799988,0.430499985,0.466399985,0.499499982,0.529099984,0.554899985
1552,7,0.113699996,0.103503529597,0.103518721278,0.1034836506,0.103564565303,0.08919999699999999,0.11349999599999999,0.100999996,0.113699996,0.10089999599999999,0.10089999599999999,0.09799999599999999,0.103199996,0.10089999599999999,0.10279999599999999,0.10089999599999999,0.10089999599999999,0.113599996,0.097399996,0.08309999700000001
1553,7,0.979499998,0.970204252735,0.974251203998,0.970824057191,0.967800886897,0.9590000000000001,0.9605,0.9676,0.9652,0.9719999990000001,0.968900001,0.9615000020000001,0.973899999,0.9679,0.9699,0.975799998,0.973700001,0.9758999979999999,0.979499998,0.972999999
1554,7,0.752699984,0.76675928966,0.739102116635,0.834216718244,0.748260980989,0.09299999699999999,0.150499994,0.228899993,0.30949999,0.386899988,0.45739998299999995,0.519699984,0.571299984,0.61069998,0.646399984,0.6762999829999999,0.7004999829999999,0.719799986,0.7372999840000001,0.752699984
1555,7,0.970100003,0.982530013007,0.954458212579,0.967341168018,0.964889932236,0.9395999970000001,0.9415999979999999,0.9570000000000001,0.948700001,0.9027999990000001,0.944200003,0.9480000009999999,0.9664,0.961100002,0.956199998,0.9554000029999999,0.970100003,0.9407999990000001,0.964799999,0.969000002
1556,7,0.11349999599999999,0.10630612365,0.106288732292,0.107146834995,0.108203839484,0.10279999599999999,0.100999996,0.11349999599999999,0.097399996,0.100999996,0.11349999599999999,0.10279999599999999,0.100999996,0.10089999599999999,0.103199996,0.10279999599999999,0.10089999599999999,0.100999996,0.097399996,0.103199996
